e_code,status,name_ru,name_en,note
E370,halal,гептонолактон,"1,4-heptonolactone",
,halal,2-гидроксибифенил,2-hydroxybiphenyl,
,halal,4-гексилрезорцинол,4-hexylresorcinol,
E414,halal,гуммиарабик,acacia gum (gum arabic),
,halal,ацесульфам калия,acesulfame potassium,
E260,halal,уксусная кислота,acetic acid,
,halal,ацетон,acetone,
,halal,ацетилированный дикрахмадипат,acetylated distarch adipate,
,haram,ацетилированный дикрахмал глицерин,acetylated distarch glycerol,
E1422,halal,ацетилированный дикрахмалфосфат,acetylated distarch phosphate,
E1451,halal,ацетилированный окисленный крахмал,acetylated oxidised starch,
E1420,halal,ацетилированный крахмал,acetylated starch,
,haram,глицериновые эфиры ацетилвинной кислоты,acetyltartaric acid glycerol esters,
,haram,кислотный казеин,acid casein,
E1401,halal,крахмал обработанный кислотой,acid-treated starch,
,haram,аденозин 5'-монофосфат,adenosine 5- monophosphate,
,haram,аденозинмонофосфат,adenosine monophosphate,
E355,halal,адипиновая кислота,adipic acid,
E406,halal,агар,agar,
,halal,альбумин,albumin,
,haram,алкоголь,alcohol,
,haram,алкоголь как растворитель для придания аромата,alcohol as solvent in flavour,
,haram,алкоголь в сухой форме в качестве ингредиента,alcohol in dry form used as ingredient,
E400,halal,альгиновая кислота,alginic acid,
E966,halal,лактит,alitame,
,halal,щелочной модифицированный крахмал,alkaline modified starch,
,halal,душистый перец,allspice,
,halal,аллура красный переменный ток,allura red ac,
E160A,halal,альфа бета гамма каротины,alpha-carotene beta-carotene gamma-carotene,
E307,halal,синтетический альфа-токоферол,alpha-tocopherol (synthetic),
,halal,квасцы,alum,
E173,halal,алюминий,aluminium,
E523,halal,сульфат алюминия-аммония,aluminium ammonium sulphate,
,halal,силикат алюминия-кальция,aluminium calcium silicate,
E522,halal,сульфат алюминия-калия,aluminium potassium sulphate,
E559,halal,алюмосиликат (каолин),aluminium silicate (kaolin),
,halal,силикат алюминия-натрия,aluminium sodium silicate,
E521,halal,сульфат алюминия-натрия,aluminium sodium sulphate,
E520,halal,сульфат алюминия,aluminium sulphate,
,halal,амарант,amaranth,
E440B,halal,амидированный пектин,amidated pectin,
,halal,аммиачная карамель,ammonia caramel,
,halal,аммоний (бикарбонат карбонат хлорид сульфат),ammonium (bicarbonate carbonate chloride sulfate),
E264,halal,ацетат аммония,ammonium acetate,
E403,halal,альгинат аммония,ammonium alginate,
,halal,бикарбонат аммония,ammonium bicarbonate,
E503,halal,карбонат аммония,ammonium carbonate,
E510,halal,хлорид аммония,ammonium chloride,
E381,halal,железо-аммонийный цитрат,ammonium ferric citrate,
E527,halal,гидроксид аммония,ammonium hydroxide,
,halal,персульфат аммония,ammonium persulphate,
E442,halal,фосфатида аммонийные соли,ammonium phosphatides,
E545,halal,полифосфат аммония,ammonium polyphosphate,
,halal,полифосфаты аммония,ammonium polyphosphates,
E517,halal,сульфат аммония,ammonium sulphate,
,halal,амилаза,amylase,
,halal,альфа-амилаза,amylase (alpha),
,halal,амилаза (бета),amylase (beta),
,halal,анис,anise,
,halal,анисовое семя,aniseed,
,halal,аннатто,annatto,
E160B,halal,аннато биксин норбиксин,annatto bixin norbixin,
E163,halal,антоцианы,anthocyanins,
E306,halal,антиоксидант - витамин е,antioxidants - vitamin e,
,halal,антиперсипирант,antipersipirant,
,halal,яблочный уксус,apple cider vinegar,
,halal,вода,aqua,
E938,halal,аргон,argon,
,halal,арроурут,arrowroot,
,haram,искусственные цвета,artificial colors,
,mushbooh,искусственные красители,artificial colours,
,mushbooh,искусственные ароматизаторы,artificial flavours,
,halal,аскорбиновая кислота,ascorbic acid,
E300,halal,аскорбиновая кислота (витамин с),ascorbic acid (vitamin c),
E304,halal,аскорбилпальмитат,ascorbyl palmitate,
E951,halal,аспартам,aspartame,
,halal,астаксантин,astaxanthin,
,halal,азодикарбонамид,azodicarbonamide,
,haram,бекон,bacon,
,haram,кусочки бекона,bacon bits,
,halal,пекарские дрожжи,bakers yeast,
,halal,экстракт пекарских дрожжей,bakers yeast extract,
,halal,разрыхлитель теста,baking powder,
,halal,пищевая сода,baking soda,
,haram,бальзамический уксус,balsamic vinegar,
,halal,базилик,basil,
,halal,лавровый лист,bay leaves,
,haram,пиво,beer,
,haram,тесто для пива,beer batters,
,haram,вкус пива,beer flavor,
,haram,ароматизатор пива,beer flavour,
E901,halal,пчелиный воск,beeswax,
,halal,свекла красная,beetroot red,
E162,halal,свекольный красный бетанин,beetroot red betanin,
,haram,бегениловый спирт,behenyl alcohol,
E558,halal,бентонит,bentonite,
,halal,бензальдегид,benzaldehyde,
E210,halal,бензойная кислота,benzoic acid,
,halal,бензоилпероксид,benzoyl peroxide,
,halal,бензиловый спирт,benzyl alcohol,
E160E,halal,каротиновый альдегид,beta-apo-8'-carotenal,
,halal,бета-апо-8-каротин,beta-apo-8-carotenal,
,mushbooh,бета-каротин,beta-carotene,
E459,halal,бета-циклодекстрин,beta-cyclodextrin,
,halal,бетанин,betanin,
,mushbooh,бутилоксианизол или бутилгидрокситолуол,bha or bht,
Е230,halal,бифенил дифенил,biphenyl diphenyl,
,haram,биксин,bixin,
,halal,порошок черного перца,black pepper powder,
,halal,черный пн / блестящий черный bn,black pn / brilliant black bn,
E151,halal,черный блестящий bn,black pn/brillliant black pn,
,halal,отбеленная мука,bleached flour,
,halal,отбеленный крахмал,bleached starch,
E284,halal,борная кислота,boric acid,
,halal,отруби,bran,
,haram,пивные дрожжи,brewers yeast,
,haram,экстракт пивных дрожжей,brewers yeast extract,
,halal,блестящий синий fcf,brilliant blue fcf,
E154,halal,коричневый fk,brown fk,
E155,halal,коричневый ht,brown ht,
,halal,булгур,bulgur wheat,
E943A,halal,бутан,butane,
,mushbooh,липолизированный молочный жир,butter fat lipolyzed,
,mushbooh,сухие кисломолочные продукты,buttermilk solids,
E320,halal,бутилгидроксианизол,butylated hydroxyanisole (bha),
E321,halal,бутилгидрокситолуол,butylated hydroxytoluene (bht),
,halal,кофеин,caffeine,
,haram,кальциферол,calciferol,
,halal,кальций (карбонат хлорид цитрат сорбат сульфат),calcium (carbonate chloride citrate sorbate sulfate),
E634,mushbooh,5-рибонуклеотиды кальция,calcium 5'-ribonucleotides,
E263,halal,ацетат кальция,calcium acetate,
E404,halal,альгинат кальция,calcium alginate,
E556,halal,алюмосиликат кальция,calcium aluminium silicate,
E302,halal,аскорбат кальция,calcium ascorbate,
Е213,halal,бензоат кальция,calcium benzoate,
,halal,карбонат кальция,calcium carbonate,
E170,halal,карбонаты кальция,calcium carbonate chalk,
E509,halal,хлорид кальция,calcium chloride,
,halal,цитрат кальция,calcium citrate,
E333,halal,цитраты кальция,calcium citrates,
,halal,цикламат кальция,calcium cyclamate,
E623,halal,диглутамат кальция,calcium diglutamate,
E385,halal,этилендиаминтетраацетат кальция-натрия,calcium disodium edta,
E538,halal,ферроцианид кальция,calcium ferrocyanide,
,halal,формиат кальция,calcium formate,
,halal,фумарат кальция,calcium fumarate,
E578,halal,глюконат кальция,calcium gluconate,
,halal,глутамат кальция,calcium glutamate,
E629,halal,5-гуанилат кальция,calcium guanylate,
,halal,ортофосфат кальция гидрогенизированный,calcium hydrogen orthophosphate,
Е227,halal,гидросульфит кальция,calcium hydrogen sulphite,
E526,halal,гидроксид кальция,calcium hydroxide,
E633,mushbooh,5-инозинат кальция,calcium inosinate,
E327,halal,лактат кальция,calcium lactate,
E352,halal,малат кальция,calcium malate,
E529,halal,оксид кальция,calcium oxide,
,halal,перекись кальция,calcium peroxide,
E341,halal,фосфаты кальция,calcium phosphates,
E544,halal,полифосфат кальция,calcium polyphosphate,
,halal,полифосфаты кальция,calcium polyphosphates,
E282,halal,пропионат кальция,calcium propionate,
E552,halal,силикат кальция,calcium silicate,
,halal,полифосфат кальция-натрия,calcium sodium polyphosphate,
Е203,halal,сорбат кальция,calcium sorbate,
,mushbooh,стеарат кальция,calcium stearate,
,mushbooh,стеароил-лактилат кальция,calcium stearoyl lactylate,
E482,mushbooh,стеароил-2-лактилат кальция,calcium stearoyl-2-lactylate,
E516,halal,сульфат кальция,calcium sulphate,
Е226,halal,сульфит кальция,calcium sulphite,
E354,haram,тартрат кальция,calcium tartrate,
,halal,кальций-1-аскорбат,calcium-l-ascorbate,
E902,halal,воск карнаубский,candelilla wax,
,halal,масло канолы,canola oil,
,halal,канола или масло канолы,canola or canola oil,
E161G,halal,кантаксантин,canthaxanthin,
,halal,капсантин / капсорбин,capsanthin / capsorbin,
E160C,halal,капсантин капсорубин,capsanthin capsorubin,
,halal,карамель,caramel,
E150 (A-D),halal,сахарный колер с химическими добавками,caramel colour/with chemicals,
,halal,тмин,caraway,
E927B,halal,карбамид,carbamide,
,halal,технический углерод (углеводород),carbon black (hydrocarbon),
,haram,углеродная сажа / растительный углерод (древесный уголь),carbon black / vegetable carbon (charcoal),
E153,halal,уголь растительный,carbon black/vegetable carbon,
E290,halal,диоксид углерода,carbon dioxide,
E466,halal,карбоксиметилцеллюлоза,carboxymethyl cellulose sodium carboxymethyl cellulose,
,halal,карбоксиметилцеллюлоза натриевая соль,"carboxymethylcellulose, sodium salt",
,halal,кардамон,cardamom,
,haram,карминный цвет,carmine color,
,haram,карминовая кислота,carminic acid,
,halal,кармоизин/азорубин,carmoisine / azorubine,
E903,halal,воск свечной,carnauba wax,
,halal,рожковое дерево,carob,
,halal,порошок рожкового дерева,carob powder,
E407,halal,каррагенан,carrageenan,
,halal,морковная олеорезин,carrot oleoresin,
,halal,масло семян моркови,carrot seed oil,
,haram,казеинаты,caseinates,
,halal,каустическая сульфитная карамель,caustic sulphite caramel,
,haram,цетиловый спирт,cetyl alcohol,
,haram,сырный порошок,cheese powder,
,halal,корень цикория или корневой цикорий,chicory root or root chicory,
,halal,чеснок,chives,
E925,halal,хлор,chlorine,
E926,halal,диоксид хлора,chlorine dioxide,
E140,halal,хлорофилл,chlorophyll,
,halal,шоколадный ликер,chocolate liquour,
,haram,желчная кислота,cholic acid,
E103,halal,алканет,chrysoine resorcinol,
,halal,корица,cinnamon,
,halal,порошок корицы,cinnamon powder,
,halal,цитранаксантин,citranaxanthin,
E330,halal,лимонная кислота,citric acid,
,haram,цитроглицериды,citroglycerides,
,halal,цитрусовое масло,citrus oil,
,halal,гвоздика,clove,
,halal,гвоздичный порошок,clove powder,
E120,haram,кошениль/карминовая кислота,cochineal/carminic acid,
,halal,масло какао,cocoa butter,
,halal,какао тертое,cocoa liqour,
,halal,какао-порошок,cocoa powder,
,halal,кокос,coconut,
E100,halal,краситель,colouring,
,mushbooh,кондитерская глазурь,confectionary glaze,необходимо проверять наличие шеллака и спирта в составе
,halal,сульфат меди (ii),copper (ii) sulphate,
,halal,медный комплекс хлорофилла,copper complex of chlorophyll,
E141,halal,медные комплексы хлорофиллов,copper complexes of chlorophylls,
,halal,кориандр,coriander,
,halal,кукуруза,corn,
,halal,кукурузные отруби,corn bran,
,halal,кукурузная мука или кукурузная мука,corn flour or cornmeal,
,halal,кукурузная клейковина или кукурузный белок,corn gluten meal or corn protein,
,halal,кукурузная мука,corn meal,
,halal,кукурузное масло,corn oil,
,halal,кукурузный крахмал,corn starch,
,halal,кукурузный сироп,corn syrup,
,halal,сухие вещества кукурузного сиропа,corn syrup solids,
,halal,коровье молоко,cows milk,
,halal,клюква,cranberry,
,halal,крем,cream,
,halal,тартарный крем,cream of tarter,
,halal,сшитый натрий,crosslinked sodium,
E468,halal,карбоксиметилцеллюлозы натриевая соль трехмерная,crosslinked sodium carboxymethyl cellulose,
E161C,halal,криптоксантин,cryptoxanthin,
,halal,культура,culture,
,halal,сироп из культивированной кукурузы твердый,cultured corn syrup solid,
,haram,кисломолочные сливки липолизированные,cultured cream lipolyzed,
,halal,кисломолочное молоко,cultured milk,
,halal,мука из культивированной пшеницы,cultured wheat flour,
,halal,куркумин/куркума,curcumin/turmeric,
,halal,порошок карри,curry powder,
,haram,цианокобаламин,cyanocobalamin,
,halal,циклометикон,cyclomethicone,
,halal,циламиновая кислота,cylamic acid,
,haram,цитиден-5-монофосфат,cytidene 5 monophosphate,
,haram,датам,datem,
E309,halal,синтетический дельта - токоферол,delta-tocopherol (synthetic),
E1400,halal,декстрин,dextrin,
,halal,декстроза,dextrose,
,haram,диацетилтартратный эфир моноглицеридов,di- acetyl tartrate ester of monoglycerides,
,haram,диацетат,diacetate,
E540,halal,дикальция дифосфат,dicalcium diphosphate,
,halal,дикальций ферроцианид,dicalcium ferrocyanide,
,halal,дикальцийфосфат,dicalcium phosphate,
E940,halal,дихлордифторметан,dichlorodifluoromethane,
,haram,диглицерид,diglyceride,
,halal,укроп,dill,
E242,halal,диметилдикарбонат,dimethyl dicarbonate,
E900,halal,диметилполисилоксан,dimethyl polysiloxane,
E628,halal,5-гуанилат калия двузамещенный,dipotassium guanylate,
,halal,дикалия гидроортофосфат,dipotassium hydrogen orthophosphate,
E632,mushbooh,инозинат калия двузамещенный,dipotassium inosinate,
,halal,дикалийфосфат,dipotassium phosphate,
E635,mushbooh,5-рибонуклеотиды натрия двузамещенные,disodium 5'-ribonucleotides,
,halal,цитрат динатрия,disodium citrate,
,haram,динатрия гуанозин-5-монофосфат,disodium guanosine 5 monophosphate,
,halal,гуанилат динатрия,disodium guanylate,
,halal,динатрий гидроортофосфат,disodium hydrogen orthophosphate,
E631,mushbooh,инозинат натрия двузамещенный,disodium inosinate,
,haram,динатрий уридин-5-монофосфат,disodium uridine 5 monophosphate,
,haram,дикрахмал глицерин,distarch glycerine,
E1412,halal,дикрахмалфосфат,distarch phosphate,
,halal,длетоналамин,dlethonalamine,
,haram,докозанол,docosanol,
E312,halal,додецилгаллат,dodecyl gallate,
,halal,мука твердых сортов,durum flour,
,halal,мука из твердых сортов пшеницы,durum wheat flour,
E542,mushbooh,костный фосфат,edible bone phosphate (bone-meal),
,halal,пищевое растительное масло,edible vegetable oil,
,halal,этилендиаминтетрауксусная кислота,edta,
,halal,яйца,eggs,
,mushbooh,эмульгатор,emulsifier yn,
,halal,обогащенная мука,enriched flour,
,mushbooh,модифицированный ферментами лецитин,enzyme modified lecithin,
,mushbooh,модифицированный ферментами соевый лецитин,enzyme modified soya lecithin,
,haram,крахмал обработанный ферментами,enzyme treated starch,
,halal,ферменты используемые в хлебобулочных изделиях,enzymes used in bakery products,
,haram,ферменты используемые в сырах или молочных продуктах,enzymes used in cheeses or dairy products,
,halal,ферментативно гидролизованная карбоксиметилцеллюлоза,enzymetically hydrolysed carboxymethyl cellulose,
E469,halal,гидролизуемая под действием ферментнов карбоксиметилцеллюлоза,enzymically hydrolysed carboxymethylcellulose,
E315,halal,эриторбовая кислота,erythorbic acid,
,halal,эриторбиновая кислота,erythorbin acid,
,haram,эритрит,erythritol,
,halal,эритрозин,erythrosine bs,
,halal,эфирные масла,essential oils,
,haram,эфиры канифоли,esters of colophony,
,haram,этанол,ethanol,
,mushbooh,этоксилированные моно- и диглицериды,ethoxylated mono- and diglycerides,
Е214,halal,пара-гидроксибензойной кислоты этиловый эфир,ethyl 4- hydroxybenzoate,
,halal,этил-4-гидроксибензоат,ethyl 4-hydroxybenzoate,
,haram,этиловый спирт или этанол,ethyl alcohol or ethanol,
,halal,этилцеллюлоза,ethyl cellulose,
,halal,этиловый эфир бета-апо-8-картоновой кислоты,ethyl ester of beta-apo- 8-cartonoic acid,
E160F,halal,этиловый эфир каротиновой кислоты,ethyl ester of beta-apo-8'-carotenic acid,
E467,halal,этилгидроксиэтилцеллюлоза,ethyl hydroxyethyl cellulose,
E637,halal,этилмальтол,ethyl maltol,
E465,halal,этилметилцеллюлоза,ethyl methyl cellulose,
,halal,этилванилин,ethylvanillin,
,halal,фарина,farina,
,halal,быстрый зеленый,fast green fcf,
E105,halal,желтый прочный,fast yellow ab,
,halal,фенхель,fennel,
,halal,пажитник,fenugreek,
,haram,ферментированный сидр,fermented cider,
,halal,оксид железа,ferric oxide,
,halal,глюконат железа,ferrous gluconate,
E585,halal,лактат железа,ferrous lactate,
,halal,сульфат железа,ferrous sulphate,
,halal,рыбный желатин,fish gelatin,
E161A,halal,флавоксантин,flavoxanthin,
,halal,мука,flour,
,haram,фолиевая кислота,folic acid,
,halal,формальдегид,formaldehyde,
,halal,муравьиная кислота,formic acid,
,halal,фруктоза,fructose,
E297,halal,фумаровая кислота,fumaric acid,
E308,halal,синтетический гамма-токоферол,gamma-tocopherol (synthetic),
,halal,чесночный порошок,garlic powder,
E441,mushbooh,желатин,gelatin,
E418,halal,геллановая камедь,gellan gum,
,halal,гатти жвачка,ghatti gum,
,halal,имбирь,ginger,
E574,halal,глюконовая кислота,gluconic acid,
E575,halal,глюконо-дельта-лактон,glucono delta-lactone,
E620,halal,глутаминовая кислота,glutamic acid,
,halal,глютен,gluten,
E422,mushbooh,глицерин,glycerol,
,haram,сложный эфир глицерина,glycerol ester,
,haram,глицериновые эфиры древесной канифоли,glycerol esters of wood rosin,
E445,mushbooh,эфиры глицерина и смоляных кислот,glycerol esters of wood rosins,
,haram,моностеарат глицерина,glycerol monostearate,
,haram,глицерил триацетат,glyceryl triacetate,
E1518,halal,триацетин,glyceryl triacetate triacetin,
,haram,глицин и его натриевая соль,glycine & its sodium salt,
E640,mushbooh,глицин и его натриевые соли,glycine and its sodium salt,
E175,halal,золото,gold,
,halal,мука грубого помола,graham flour,
,halal,виноград,grape,
,haram,экстракт виноградных косточек,grape seed extract,
,haram,масло виноградных косточек,grape seed oil,
,haram,порошок виноградной кожицы,grape skin powder,
,halal,зеленый с/кислотный бриллиантовый зеленый bs,green s / acid brilliant green bs,
E142,halal,зеленый,green s/acid brilliant green bs,
E626,halal,гуаниловая кислота,guanylic acid,
E412,halal,гуаровая камедь,guar gum,
,halal,камедь акации (гуммиарабик),gum acacia (gum arabic),
,halal,камедь бензойная,gum benzoic,
,haram,ветчина,ham,
,haram,крепкий сидр,hard cider,
,halal,фундук,hazelnuts,
E939,halal,гелий,helium,
E239,halal,гексаметилентетрамин,hexamine,
,halal,кукурузный сироп с высоким содержанием фруктозы,high fructose corn syrup,
,halal,мед,honey,
,halal,хмель,hops,
,halal,хрен,horseradish,
E507,halal,соляная кислота,hydrochloric acid,
E949,halal,водород,hydrogen,
